Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
Cliffords First Snow Day,Clifford's first snow day,Norman Bridwell,1,Brookline,590034804,Norman Bridwell,work,1998,,,"Dogs,Fiction,Animals,Infancy,Snow,Juvenile fiction,Accessible book,Protected DAISY,In library",
Cliffords First Snow Day,Clifford's first snow day,Norman Bridwell,1,East Liberty,590034804,Norman Bridwell,work,1998,,,"Dogs,Fiction,Animals,Infancy,Snow,Juvenile fiction,Accessible book,Protected DAISY,In library",
Cliffords First Snow Day,Clifford's first snow day,Norman Bridwell,1,Main (Oakland),590034804,Norman Bridwell,work,1998,,,"Dogs,Fiction,Animals,Infancy,Snow,Juvenile fiction,Accessible book,Protected DAISY,In library",
Curious George Flies A Kite,Curious George Flies a Kite (Curious George),H.A. Rey,1,Brookline,9780812423679,"Margret Rey,H. A. Rey",work,1980,,,,
Curious George Flies A Kite,Curious George Flies a Kite (Curious George),H.A. Rey,1,Squirrel Hill,9780812423679,"Margret Rey,H. A. Rey",work,1980,,,,
Curious George Flies A Kite,Curious George Flies a Kite (Curious George),H.A. Rey,2,Squirrel Hill,9780812423679,"Margret Rey,H. A. Rey",work,1980,,,,
Curious George Flies A Kite,Curious George Flies a Kite (Curious George),H.A. Rey,1,Main (Oakland),9780812423679,"Margret Rey,H. A. Rey",work,1980,,,,
The Jellybeans And The Great Book Banaza,,Laura Numeroff,1,Brookline,No ISBN Found,,,,,,,
Dragons Breath And Other Stories,,marinaomi,1,Squirrel Hill,No ISBN Found,,,,,,,
The Jellybeans And The Big Book Banaza,,Laura Numeroff,1,Brookline,No ISBN Found,,,,,,,
The Jellybeans And The Big Dnace,,Laura Numeroff,1,Brookline,No ISBN Found,,,,,,,
On The Move,Conference on communications - an industry on the move,Oliver Sacks,1,Main (Oakland),852963297,Conference on Communications - An Industry on the Move (1986 Birmingham),work,1986,,139,Telecommunication systems,
On The Move,Conference on communications - an industry on the move,,1,,852963297,Conference on Communications - An Industry on the Move (1986 Birmingham),work,1986,,139,Telecommunication systems,
Emma And Julia Love Ballet,,Barbara McClintock,1,Lawrenceville,No ISBN Found,,,,,,,
Emma And Julia Love Ballet,,Barbara McClintock,1,,No ISBN Found,,,,,,,
Emma And Julia Love Ballet,,Barbara McClintock,1,Homewood,No ISBN Found,,,,,,,
Emma And Julia Love Ballet,,Barbara McClintock,1,Knoxville,No ISBN Found,,,,,,,
Jessica Jones Alias Volume 4,,Brian Michael Bendis,1,Downtown & Business,No ISBN Found,,,,,,,
Wildthorn,Wildthorn,Jane Eagland,1,East Liberty,330458167,Jane England,work,2009,,,,
Big Birds Tree Triming Party,,,1,South Side,No ISBN Found,,,,,,,
The Best Nest,The Very Best Flavours of Wales,,1,South Side,9781859025901,"Gilli Davies,Rhian Nest James",work,1997,,132,,
The Best Nest,The Very Best Flavours of Wales,Eastman,1,Main (Oakland),9781859025901,"Gilli Davies,Rhian Nest James",work,1997,,132,,
The Best Nest,The Very Best Flavours of Wales,P.D. Eastman,2,Main (Oakland),9781859025901,"Gilli Davies,Rhian Nest James",work,1997,,132,,
The Best Nest,The Very Best Flavours of Wales,P.D. Eastman,1,Main (Oakland),9781859025901,"Gilli Davies,Rhian Nest James",work,1997,,132,,
Where Do The Animals Live,Where Do the Animals Live?,,1,South Side,1567840191,Melvin Berger,work,1994,,16,,
On The Farm,Handy Andy on the Farm,Kate Riggs,1,South Side,1410102556,Farm Mechanics Magazine,work,2003,,,,
On The Farm,Handy Andy on the Farm,Kate Riggs,1,Woods Run,1410102556,Farm Mechanics Magazine,work,2003,,,,
On The Farm,Handy Andy on the Farm,Kate Riggs,1,Brookline,1410102556,Farm Mechanics Magazine,work,2003,,,,
What Makes A Rainbow,What makes a rainbow?,,1,South Side,9781581171341,Betty Ann Schwartz,work,2000,,,,
Simply Irresistible,Simply irresistible,Rachel Gibson,1,West End,9780263135992,Miranda Lee,work,1993,,,,
Goodnight Construction Site,"Goodnight, goodnight, construction site",Sherri Duskey Rinker,1,,811877825,Sherri Duskey Rinker,work,2011,,,,
Goodnight Construction Site,"Goodnight, goodnight, construction site",Sherri Duskey Rinker,1,,811877825,Sherri Duskey Rinker,work,2011,,,,
Goodnight Construction Site,"Goodnight, goodnight, construction site",Sherri Duskey Rinker,1,Squirrel Hill,811877825,Sherri Duskey Rinker,work,2011,,,,
The Girl Of The Wish Garden  A Thumbelina Story,Hans Andersen's Fairy Tales,Uma Krishnaswami,1,,1434611302,Hans Christian Andersen,work,1846,,,,
The Girl Of The Wish Garden  A Thumbelina Story,Hans Andersen's Fairy Tales,Uma Krishnaswami,1,,1434611302,Hans Christian Andersen,work,1846,,,,
Squish Deadly Disease Of Doom,,Jennifer l.holm,1,Allegheny,No ISBN Found,,,,,,,
Squish Deadly Disease Of Doom,,Jen,1,South Side,No ISBN Found,,,,,,,
Birthday Monsters,Birthday monsters!,Sandra Boynton,2,Main (Oakland),1563054434,Sandra Boynton,work,1993,,,"Fiction,Stories in rhyme,Birthdays,Monsters,Protected DAISY,Accessible book,In library",
Birthday Monsters,Birthday monsters!,Sandra Boynton,2,Main (Oakland),1563054434,Sandra Boynton,work,1993,,,"Fiction,Stories in rhyme,Birthdays,Monsters,Protected DAISY,Accessible book,In library",
Birthday Monsters,Birthday monsters!,Sandra boynton,1,Allegheny,1563054434,Sandra Boynton,work,1993,,,"Fiction,Stories in rhyme,Birthdays,Monsters,Protected DAISY,Accessible book,In library",
Birthday Monsters,Birthday monsters!,Sandra boynton,1,Beechview,1563054434,Sandra Boynton,work,1993,,,"Fiction,Stories in rhyme,Birthdays,Monsters,Protected DAISY,Accessible book,In library",
Good Night I Love You,"I Love You, Good Night",Caroline Church,2,Main (Oakland),9780689862120,Richard Ford,work,2005,,,,
Good Night I Love You,"I Love You, Good Night",Caroline Church,2,Main (Oakland),9780689862120,Richard Ford,work,2005,,,,
Good Night I Love You,"I Love You, Good Night",Caroline Jayne Church,1,Woods Run,9780689862120,Richard Ford,work,2005,,,,
Bark George,"Bark, George",Jules Feiffer,1,Hill District,9780062051868,Jules Feiffer,work,1999,,,,
Bark George,"Bark, George",Jules Feiffer,1,Main (Oakland),9780062051868,Jules Feiffer,work,1999,,,,
Bark George,"Bark, George",Jules Feiffer,15,Hazelwood,9780062051868,Jules Feiffer,work,1999,,,,
Bark George,"Bark, George",Jules Feiffer,1,Lawrenceville,9780062051868,Jules Feiffer,work,1999,,,,
Bark George,"Bark, George",Jules Feiffer,1,Lawrenceville,9780062051868,Jules Feiffer,work,1999,,,,
Bear Wants More,Bear wants more,Karma Wilson,1,Hill District,9780439905787,Karma Wilson,work,2003,,,"Juvenile fiction,Fiction,Animals,Bears,Stories in rhyme,Food",
Bear Wants More,Bear wants more,Karma Wilson,1,West End,9780439905787,Karma Wilson,work,2003,,,"Juvenile fiction,Fiction,Animals,Bears,Stories in rhyme,Food",
Beautiful Oops,Beautiful Oops!,Barney Saltzberg,1,Hill District,9780761157281,Barney Saltzberg,work,2010,,,,
Dem Bones  And More Singalong Stories,,Bob Barner,1,Hill District,No ISBN Found,,,,,,,
Funny Animal Stories,Favorite Funny Animal Stories,,1,Hill District,307909859,Dorothy Kunhardt,work,,,,,
Green Is A Chile Pepper  A Book Of Colors,,Roseanne Thong,1,Hill District,No ISBN Found,,,,,,,
Hes Got The Whole World In His Hands,,Kadir Nelson,1,Hill District,No ISBN Found,,,,,,,
Human Body A Visual Encyclopedia,Encyclopedia of Library and Information Science,Richard Walker,1,Hill District,824721055,Allen Kent,work,1971,,,,
I Have A Skeleton,The skeleton's knee,Simone T. Ribke,1,Hill District,446400998,Archer Mayor,work,1993,,,,
I Stink,I stink!,Kate McMullan,1,Hill District,9780060298494,"Kate McMullan,Kate McMullan",work,2002,,,,
I Stink,I stink!,Kate McMullan,1,Downtown & Business,9780060298494,"Kate McMullan,Kate McMullan",work,2002,,,,
I Stink,I stink!,Kate McMullan,1,Downtown & Business,9780060298494,"Kate McMullan,Kate McMullan",work,2002,,,,
I Stink,I stink!,Kate McMullan,1,Downtown & Business,9780060298494,"Kate McMullan,Kate McMullan",work,2002,,,,
Im Dirty,I'm dirty!,Kate McMullan,1,Hill District,60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
Im Dirty,I'm dirty!,Kate McMullan,1,Downtown & Business,60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
Im Dirty,I'm dirty!,Kate McMullan,1,Downtown & Business,60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
Im Dirty,I'm dirty!,,1,Main (Oakland),60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
Im Dirty,I'm dirty!,,1,West End,60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
Im Dirty,I'm dirty!,,1,West End,60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
Im Dirty,I'm dirty!,Kate McMullan,1,South Side,60092947,Kate McMullan,work,2006,,,"Fiction,Cleanliness,Backhoes,Protected DAISY",
I Know What I Am But What Are You,"I Know I Am, but What Are You?",Samantha Bee,1,Main (Oakland),1439142742,Samantha Bee,work,2010,,,,
Keep Moving,Sharks Keep Moving,Dick Van Dyke,1,East Liberty,9786308672194,Sharks Keep Moving   Cdcdis          Sts5,work,2004,,,,
Katie Loves The Kittens,Katie loves the kittens,John Himmelman,1,Hill District,9780805086829,John Himmelman,work,2008,,,"Fiction,Animals,Infancy,Patience,Cats,Friendship,Dogs,Protected DAISY",
The Silver Linings Playbook,The Silver Linings Playbook,Matthew Quick,1,Downtown & Business,1433253682,"Quick, Matthew/ Porter, Ray (NRT)",work,2010,,,,
Lift The Flap Questions And Answers About Your Body,Lift-the-flap Questions and Answers about your Body,Katie Daynes,1,Hill District,978-1-4095-6210-8,Katie Daynes,work,2013,,,"science,human body,royal society young people's book prize",
Musical Tales Vol 2,The Canterbury tales,,1,Hill District,174326599,Geoffrey Chaucer,work,1478,,,"Accessible book,Bibliothèque nationale de France,Canterbury,Children's stories,Christian pilgrims and pilgrimages,Christian pilgrims and pilgrimages in fiction,Christian pilgrims and pilgrimages in literature,Criticism and interpretation,Death,Early works to 1800,England,English Manuscripts,English Narrative poetry,English language,English literature,English poetry,Facsimiles,Fiction,Grammar,History and criticism,Manuscripts,Manuscripts, English (Middle),Medieval Civilization,Medieval Manuscripts,Medieval Tales,Middle Ages,Pilgrims and pilgrimages in literature,Poetry,Storytelling,Storytelling in fiction,Storytelling in literature,Textual Criticism,Translations into Arabic,Treasure troves,Protected DAISY,Water,Mathematical models,Pollution,Aeration,In library,Juvenile poetry,Children's stories, English,Short stories","Canterbury,Canterbury (England),England,California,San Marino"
See Inside Your Body,Anemia in Women,Katie Daynes,1,Hill District,897933656,Joan Gomez,work,2002,,,,
See Inside Your Body,Anemia in Women,Katie Daynes and Colin King,2,South Side,897933656,Joan Gomez,work,2002,,,,
Sid The Science Kid Health And The Body,,,1,Hill District,No ISBN Found,,,,,,,
Sid The Science Kid Health And The Body,,,1,Hill District,No ISBN Found,,,,,,,
Sid The Science Kid Sids Senseational Adventures,,,1,Hill District,No ISBN Found,,,,,,,
Stories From All Around Our Town,Robinson Crusoe,,1,Hill District,9780689851049,Daniel Defoe,work,1,,,,
Things I Like About Grandma,Things I like about grandma,francine haskins,1,Hill District,892391235,Francine Haskins,work,1992,,,"African Americans,Fiction,Grandmothers",
This Land Is Your Land,This land is your land,Woody Guthrie,1,Hill District,316392154,Woody Guthrie,work,1998,,,"English Folk songs,Folk songs,Texts",United States
Trashy Town,Trashy Town,David Clemesha,1,Hill District,439207134,,work,2001,,,,
Trashy Town,Trashy Town,David Clemesha,1,Brookline,439207134,,work,2001,,,,
Trashy Town,Trashy Town,David Clemesha,1,Brookline,439207134,,work,2001,,,,
Trashy Town,Trashy Town,David Clemesha,1,Brookline,439207134,,work,2001,,,,
Coldest Winter Ever,The Coldest Winter Ever,,1,Downtown & Business,613213637,Sister Souljah,work,1999,9.1 ounces,,,
The Wheels On The Bus And Other Stories For The Very Young,,,1,Hill District,No ISBN Found,,,,,,,
Whose Egg A Lifttheflap Book,,Lynette Evans,1,Hill District,No ISBN Found,,,,,,,
Midnight And The Meaning,Midnight and the meaning of love,,1,Downtown & Business,9781439165355,Sister Souljah,work,2011,,613,"African Americans,Fiction,Protected DAISY",
The Good Girl,Two little rich girls,Mary Kubica,1,East Liberty,9780002318242,Mignon Good Eberhart,work,1972,,,,
Unthinkable,Unthinkables,Nancy Werlin,1,Sheraden,No ISBN Found,,work,1897,,,,
God Help The Child,How to help your child develop faith in God (The Christian psychology series),Toni Morrison,1,,310301327,Clyde M. Narramore,work,1969,,,,
Cinderella Zelda,Cinderella Zelda,Robin Koontz,1,Woods Run,1617418234,Robin Michal Koontz,work,2012,,24,"Fairy godmothers,Plays,Sisters,Juvenile fiction,Cinderella (Legendary character),Fiction",
When Asia Was The World,An outcast of the islands,Stewart Gordon,1,West End,9780140040548,Joseph Conrad,work,1896,,,,
Goodnight Like This,,,5,East Liberty,No ISBN Found,,,,,,,
Goodnight Like This,,,5,East Liberty,No ISBN Found,,,,,,,
Goodnight Like This,,Mary Murphy,1,East Liberty,No ISBN Found,,,,,,,
Goodnight Like This,,,1,East Liberty,No ISBN Found,,,,,,,
Goodnight Like This,,Mary Murphy,1,East Liberty,No ISBN Found,,,,,,,
Shopaholic To The Stars,,Sophie Kinsella,1,Brookline,No ISBN Found,,,,,,,
Cant We Talk About Something More Pleasant,Can't We Talk About Something More Pleasant?,Roz Chast,1,Woods Run,1608198065,Roz Chast,work,2014,,,,
Lab Girl,Beaty lab,Hope Jahren,1,Lawrenceville,9780310719991,Nancy N. Rue,work,2009,,,,
Lab Girl,Beaty lab,Hope Jahren,1,East Liberty,9780310719991,Nancy N. Rue,work,2009,,,,
Lab Girl,Beaty lab,Hope Jahren,1,Squirrel Hill,9780310719991,Nancy N. Rue,work,2009,,,,
Lab Girl,Beaty lab,Hope Jahren,1,Main (Oakland),9780310719991,Nancy N. Rue,work,2009,,,,
The Discovery Of Neptune,The discovery of Neptune,Morton Grosser,1,Squirrel Hill,486237265,Morton Grosser,work,1962,,172,,Neptune (Planet)
We Like Fruit,We Like Fruit (High-Frequency Readers),,1,Carrick,439064627,Millen Lee,work,2000,,8,,
Lunch,Cultural Diversity and the Schools,,1,Carrick,9781850009962,Lunch,work,1999,,,,
Three Little Pigs,The Three Little Pigs,,1,Carrick,9780330233828,,work,1971,,,,
Three Little Pigs,The Three Little Pigs,,1,Main (Oakland),9780330233828,,work,1971,,,,
Three Little Pigs,The Three Little Pigs,,1,Main (Oakland),9780330233828,,work,1971,,,,
Three Little Pigs,The Three Little Pigs,,1,Main (Oakland),9780330233828,,work,1971,,,,
Stop Eat,Stop! Eat!,,1,Carrick,673612716,Cass Hollander,work,,,7,,
The Dog,The Dog from Arf! Arf! to Zzzzzz,,1,Carrick,60598573,The Dog Artlist Collection,work,2004,,,"Accessible book,Protected DAISY,Alphabet,Juvenile literature,Dogs,English language",
The Dog,The Dog from Arf! Arf! to Zzzzzz,Joseph O'Neill,1,West End,60598573,The Dog Artlist Collection,work,2004,,,"Accessible book,Protected DAISY,Alphabet,Juvenile literature,Dogs,English language",
The Big Hill,The Big Questions,,1,Carrick,9780745951409,Jonathan Hill,work,2008,9.1 ounces,240,,
The Boy,Boy: including the legendary Kitsch-22 designs Blackmail,,1,Carrick,No ISBN Found,Boy.,work,1980,,,,
Baby Dona Makes A Snow Friend,,,1,Carrick,No ISBN Found,,,,,,,
A To Z,Hanako jiten,,1,Carrick,4384021798,A to Z Nettowāku.,work,1991,,209,"Women,Social conditions,Psychology",Japan
A To Z,Hanako jiten,Sandra Boynton,1,Squirrel Hill,4384021798,A to Z Nettowāku.,work,1991,,209,"Women,Social conditions,Psychology",Japan
A To Z,Hanako jiten,Sandra Boynton,1,Squirrel Hill,4384021798,A to Z Nettowāku.,work,1991,,209,"Women,Social conditions,Psychology",Japan
The,"Laws, etc",,1,Carrick,9780118017565,Rand McNally,work,1691,,,"Cattle,Commercial law,Consumer credit,Consumer protection,Delegated legislation,Diseases,Domestic relations,Drill and minor tactics,Early works to 1800,Economic aspects of World War, 1914-1918,Educational law and legislation,Finance,Government securities,Great Britain,Gt. Brit,Income tax,Indexes,Law,Law and legislation,Law, Anglo-Saxon,Laws, statutes,Legislation,Life Insurance,Local government,Military law,Militia,Old age pensions,Patent laws and legislation,Periodicals,Postal service,Prevention,Public health laws,Rent,Social security,Statutes,Taxation,Trade regulation,Veterinary Quarantine,Weights and measures,World War, 1914-1918,Corporation law,Food law and legislation,Food supply,Universities and colleges,Food conservation,War and emergency legislation,National University of Ireland,Irish universities act, 1908,German,Glossaries, vocabularies,Dictionaries,English language","England,Great Britain,Gt. Brit,Scotland,Statutes"
Knock Knock Jokes,365 Knock-Knock Jokes,,1,Carrick,1566196019,Robert Myers,work,1995,,,,
I Can See,What Can I See?,,1,Carrick,241128501,Cecilia Fitzsimons,work,1990,,32,,
Yellow,Kekkaishi,,1,Carrick,9781415680681,Yellow Tanabe,work,2005,,,,
School,Haiku Poetry,,1,Carrick,553118099,School,work,1978,,,,
I Can,Learning together,,1,Carrick,No ISBN Found,I CAN (Organization),work,2004,,,,
Sorry,De la tradition à la world music,,1,Carrick,2738445179,Bamba Sorry,work,2000,12.6 ounces,267,,
Sorry,De la tradition à la world music,,1,Brookline,2738445179,Bamba Sorry,work,2000,12.6 ounces,267,,
The Missing Cupcake,The missing cupcake mystery,,1,Carrick,1442454644,Tony Dungy,work,2013,,,,
A Picnic Adventure,Picnic adventures,,1,Carrick,No ISBN Found,Elizabeth L. Gilman,work,1940,,,,
A Picnic Adventure,Picnic adventures,Lisa Gallo,1,Squirrel Hill,No ISBN Found,Elizabeth L. Gilman,work,1940,,,,
Play Ball Amelia Bedelia,"Play Ball, Amelia Bedelia",Peggy Parish,1,Carrick,9780060267018,Peggy Parish,work,1972,,,,
A World To Explore,A Forum for bilateral conversationsbetween world Confessional Families,,1,Carrick,No ISBN Found,World Council of Churches. Faith and Order Secretariat. Advisory Group to Explore... Biliteral Diaglogues...,work,1977,,,,
Junie B First Grader,"Junie B., First Grader",,1,Carrick,9780375823022,Barbara Park,work,2002,,,,
The Museum Adventure,Museum adventure,,1,Carrick,No ISBN Found,Molly Harrison,work,1950,,,,
The Tea House On Mulberry Street,The tea house on Mulberry Street,Sharon Owens,1,Main (Oakland),399152652,Sharon Owens,work,2003,,323,"Fiction,Married people,Tearooms,Protected DAISY,Accessible book",Ireland
Lustlocked,,Matt Wallace,1,Sheraden,No ISBN Found,,,,,,,
Tricked,Tricks,Kevin Hearne,1,Sheraden,9993939056,Ed McBain,work,1987,,,,
Tricked,Tricks,Kevin Hearne,1,Main (Oakland),9993939056,Ed McBain,work,1987,,,,
Green Lantern An Origin Story,,Matthew K. Manning,1,Brookline,No ISBN Found,,,,,,,
Green Lantern An Origin Story,,Matthew K. Manning,1,Brookline,No ISBN Found,,,,,,,
Green Lantern An Origin Story,,Matthew K. Manning,1,Brookline,No ISBN Found,,,,,,,
Pinkalicious And The Cupcake Calamity,,Victoria Kann,1,Brookline,No ISBN Found,,,,,,,
Pinkalicious And The Cupcake Calamity,,Victoria Kann,1,Brookline,No ISBN Found,,,,,,,
Pinkalicious And The Cupcake Calamity,,Victoria Kann,1,Brookline,No ISBN Found,,,,,,,
Pinkalicious And The Cupcake Calamity,,Victoria Kann,1,Brookline,No ISBN Found,,,,,,,
Pinkalicious And The Cupcake Calamity,,Victoria Kann,1,Squirrel Hill,No ISBN Found,,,,,,,
Pinkalicious And The Cupcake Calamity,,Victoria Kann,1,Hazelwood,No ISBN Found,,,,,,,
Six Months To Live,Six Months to Live,Archie Boyle,1,Main (Oakland),553567608,Lurlene Mcdaniel,work,1995,,,,
The War That Saved My Life,The war that Saved my Life,Kimberly Brubaker Bradley,1,Squirrel Hill,803740816,Kimberly Brubaker Bradley,work,2015,,320,"YA fiction,abusive parenting",
The War That Saved My Life,The war that Saved my Life,Kimberly Brubaker Bradley,1,South Side,803740816,Kimberly Brubaker Bradley,work,2015,,320,"YA fiction,abusive parenting",
Father Joe,Father Joe,Tony Hendra,1,Main (Oakland),9780812972344,Tony Hendra,work,2004,4 ounces,304,"Biography,Catholic Church,Catholics,Clergy","Great Britain,United States"
French Lessons,Lessons From Heaven's Borderland,Ellen suisman,1,Main (Oakland),1597816957,Bill French,work,2005,,,,
Inside Out,Inside Out Florence (InsideOut City Guides),,1,South Side,1841398772,Inside Out,work,2002,5.6 ounces,64,,
Inside Out,Inside Out Florence (InsideOut City Guides),,1,Main (Oakland),1841398772,Inside Out,work,2002,5.6 ounces,64,,
Inside Out,Inside Out Florence (InsideOut City Guides),,1,Squirrel Hill,1841398772,Inside Out,work,2002,5.6 ounces,64,,
Inside Out,Inside Out Florence (InsideOut City Guides),,1,Squirrel Hill,1841398772,Inside Out,work,2002,5.6 ounces,64,,
Inside Out,Inside Out Florence (InsideOut City Guides),,1,East Liberty,1841398772,Inside Out,work,2002,5.6 ounces,64,,
Inside Out,Inside Out Florence (InsideOut City Guides),,1,East Liberty,1841398772,Inside Out,work,2002,5.6 ounces,64,,
Frozen Fever,White fever,,1,South Side,1846272696,Jacek Hugo-Bader,work,2011,,323,"Social conditions,Travel,Description and travel","Russia (Federation),Siberia,Siberia (Russia)"
Sharing And Caring,"Caring cultures, sharing imaginations, Australia and India",,1,South Side,9788176256278,"International Seminar on ""Caring Cultures : Sharing Imaginations, Australia and India"" (2004 Dept. of English, Dayanand College)",work,2006,,,,
The Missing Necklace,The Missing Necklace,,1,South Side,673087301,Phoebe Moore,work,1971,,,,
The Missing Necklace,The Missing Necklace,,1,Knoxville,673087301,Phoebe Moore,work,1971,,,,
Planet Earth,Photographic library,,1,South Side,No ISBN Found,Planet Earth Pictures.,work,1990,,,,
Planet Earth,Photographic library,,1,West End,No ISBN Found,Planet Earth Pictures.,work,1990,,,,
Ready Freddy Going To 2nd Grade,,,1,South Side,No ISBN Found,,,,,,,
Magic Animal Friends Rosie Giggle Pips Lucky Escape,,,1,South Side,No ISBN Found,,,,,,,
A Little Princess,A little princess,Frances Hodgson Burnett,1,South Side,451525094,Frances Hodgson Burnett,work,1905,,236,"Fiction,Orphans,Schools,Boarding schools,History,Social life and customs,Juvenile fiction,Translations into Russian,Children's stories, English,Children's plays,Accessible book,Protected DAISY,In library,Girls,Large type books","London (England),Great Britain,England"
A Little Princess,A little princess,Frances Hodgson Burnett,1,,451525094,Frances Hodgson Burnett,work,1905,,236,"Fiction,Orphans,Schools,Boarding schools,History,Social life and customs,Juvenile fiction,Translations into Russian,Children's stories, English,Children's plays,Accessible book,Protected DAISY,In library,Girls,Large type books","London (England),Great Britain,England"
A Little Princess,A little princess,Frances Hodgson Burnett,1,Squirrel Hill,451525094,Frances Hodgson Burnett,work,1905,,236,"Fiction,Orphans,Schools,Boarding schools,History,Social life and customs,Juvenile fiction,Translations into Russian,Children's stories, English,Children's plays,Accessible book,Protected DAISY,In library,Girls,Large type books","London (England),Great Britain,England"
Fancy Nancy My Family History,,Jane O'Connor,2,Beechview,No ISBN Found,,,,,,,
Fancy Nancy My Family History,,,1,Carrick,No ISBN Found,,,,,,,
Nugget And Fang Friends Forever  Or Snack Time,Nugget and Fang,or Snack Time? - Tammi Sauer,1,Woods Run,547852851,Tammi Sauer,work,2013,,,,
Nugget And Fang Friends Forever  Or Snack Time,Nugget and Fang,#NAME?,1,Sheraden,547852851,Tammi Sauer,work,2013,,,,
Frozen Fever  A Royal Sleepover,,Brittany Rubiano,1,Woods Run,No ISBN Found,,,,,,,
Little Miss Burnett A Flowers Primer The Secret Garden,,Jennifer Adams,1,Squirrel Hill,No ISBN Found,,,,,,,
Little Miss Burnett A Flowers Primer The Secret Garden,,Jennifer Adams,1,Squirrel Hill,No ISBN Found,,,,,,,
Snoopys Book Of Words,Snoopy's Word Book Beginner Book (Golden Books for Beginners),Charles M. Schulz,1,Squirrel Hill,307109321,Golden Books,work,1987,,,,
Snoopys Book Of Words,Snoopy's Word Book Beginner Book (Golden Books for Beginners),Charles M. Schulz,1,Squirrel Hill,307109321,Golden Books,work,1987,,,,
Maisys Race Car,,Lucy Cousins,1,Squirrel Hill,No ISBN Found,,,,,,,
Maisys Race Car,,Lucy Cousins,1,Squirrel Hill,No ISBN Found,,,,,,,
Maisys Race Car,,Lucy Cousins,1,Beechview,No ISBN Found,,,,,,,
Maisys Race Car,,Lucy Cousins,1,Main (Oakland),No ISBN Found,,,,,,,
Maisys Race Car,,,1,East Liberty,No ISBN Found,,,,,,,
Boats Go,"Go, Go, Boats!",Steve Light,1,Squirrel Hill,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,Allegheny,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,East Liberty,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",,1,East Liberty,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,East Liberty,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,Main (Oakland),843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,Carrick,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",,1,East Liberty,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,Brookline,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
Boats Go,"Go, Go, Boats!",Steve Light,1,East Liberty,843110090,Simon Hart,work,2004,11.4 ounces,12,"Boats and boating,Submarines (Ships),Juvenile literature,Ships,Accessible book,Protected DAISY",
That Night,That night,Chevy Stevens,1,Squirrel Hill,241122678,Alice McDermott,work,1987,,,,
Those Girls,Those Girls,Chevy Stevens,1,Squirrel Hill,1595141693,Sara Lawrence,work,2007,,,,
Those Girls,Those Girls,Lauren Saft,1,Lawrenceville,1595141693,Sara Lawrence,work,2007,,,,
Always Watching,Always watching,Chevy Stevens,1,Squirrel Hill,310715393,Brandilyn Collins,work,2009,,,,
Still Missing,Still missing,Chevy Stevens,1,Squirrel Hill,399125787,Beth Richardson Gutcheon,work,1981,,,,
Farmers Market Day,Market Day,"Trent, Shanda",1,East Liberty,152168206,Lois Ehlert,work,2000,,,,
Polar Bear Night,Polar bear night,Lauren Thompson,1,East Liberty,439495245,Lauren Thompson,work,2004,,,"Juvenile fiction,Fiction,Polar bear,Bears,Night,Protected DAISY",
Polar Bear Night,Polar bear night,Lauren Thompson,1,Woods Run,439495245,Lauren Thompson,work,2004,,,"Juvenile fiction,Fiction,Polar bear,Bears,Night,Protected DAISY",
