book_title,book_author,log_value,library
Girls Vol. 4,The Luna Brothers,1,Beechview
Saga #24,Brian K. Vaughan,1,Allegheny
No Title Logged,,1,Main (Oakland)
No Title Logged,,1,East Liberty
No Title Logged,,10,Squirrel Hill
How do dinosaurs stay friends?,Jane Yolen ,1,South Side
"Those Rebels, John and Tom",Barbara Kerley,1,Brookline
mouse over board,geronimo stilton,1,Woods Run
At the Marsh in the Meadow,Jeanie Mebane,1,Beechview
No Title Logged,,10,Squirrel Hill
No Title Logged,,1,Carrick
The Arnifour Affair,Gregory Harris,1,Carrick
Five Little Gefiltes,Dave Horowitz,2,Squirrel Hill
Pete the Cat: I Love My White Shoes,Eric Litwin,1,Library for the Blind and Physically Handicapped
Fantastic Mr. Fox,,1,Main (Oakland)
Thomas and the Naughty Diesel (Thomas & Friends) ,Rev. W. Awdry,1,Brookline
berenstain bears get stage fright,,1,Main (Oakland)
Biscuit and the Baby,Alyssa Satin Capucilli,2,Main (Oakland)
Harry Potter and the Deathly Hallows,J.K. Rowling,1,Carrick
No Title Logged,,3,Squirrel Hill
Horton Hatches the Egg,Dr. Seuss,1,Beechview
A Treasury of Traditional Tales-Fishing for the Moon,Various Authors,1,Main (Oakland)
Starry Starry Night,,1,Beechview
Comic Squad: Recess,Various authors,2,Squirrel Hill
American sniper the autobiography of the most lethal sniper in U.S. military history,Chris Kyle,1,Woods Run
I Wish that I Had Duck Feet,Dr. Seuss,1,East Liberty
No Title Logged,,3,Mt. Washington
Sharpie Art Workshop: Techniques and Ideas for Transforming Your World,Timothy Goodman,1,Brookline
Wild,Cheryl Strayed,1,South Side
Don't Let the Pigeon Drive the Bus!,Mo Willems,1,West End
The Sleeping Beauty / La Bella Dumiente,Miquel Desclot,1,Hill District
Paw Patrol: Rubble to the Rescue!,Kristen Depken,2,Main (Oakland)
Utterly Amazing Human Body ,Richard Walker,1,Main (Oakland)
No Title Logged,,25,Mt. Washington
Pirates Love Underpants,Claire Freedman,1,Lawrenceville
big book of junior,,1,Hill District
Burning Marguerite,Elizabeth Inness-Brown,1,West End
Rock-a-Bye Bones,Carolyn Haines,1,Brookline
No Title Logged,,2,West End
The Monster at the End of this Book,Jon Stone,2,Squirrel Hill
Sian's Solution,Dale Mayer,1,Knoxville
the sound of murder,cindy brown,1,
Fangirl,Rainbow Rowell,1,West End
Yummy Yucky,Leslie Patricelli,1,Main (Oakland)
Princess Grace and the puppy,,1,Main (Oakland)
The Readaholics and the Poirot Puzzle,Laura DiSilverio,1,Mt. Washington
the game,,1,East Liberty
You aer my i love you,,1,East Liberty
Pete the Cat,James Dean,1,Squirrel Hill
No Title Logged,,5,Beechview
mixed up mail mystery,,1,Carrick
No Title Logged,,14,Squirrel Hill
"Insect World, A Childs First Library of Learning",Time Life,1,Squirrel Hill
an amish christmas,cynthia keller,1,Beechview
The Gingerbread Boy ,Paul Galdone,1,East Liberty
Baby Loves Sports,duopress books,1,Main (Oakland)
katie meets the impressionists,james mayhew,1,Main (Oakland)
No Title Logged,,15,Squirrel Hill
Fun in the sun,BobbyvLynn Maslen,1,East Liberty
The Odds,Kathleen George,1,Carrick
No Title Logged,,16,Woods Run
The creeps,,1,Lawrenceville
From Little Acorns,,1,West End
toy story,,1,Brookline
A Field Guide to Household Bugs: It's a Jungle in Here,"Abarbanel, Joshua",1,Hazelwood
No Title Logged,,13,Squirrel Hill
Frommer's Easy Guide to New York,,1,Carrick
who will i be lord,,1,East Liberty
No Title Logged,,8,Squirrel Hill
"Go Dog, Go",P.D. Eastman,1,Lawrenceville
The Marriage Plot,Jeffrey Eugenides,1,Main (Oakland)
No Title Logged,,5,Allegheny
Yoko Writes Her Name,Rosemary Wells,1,Mt. Washington
No Title Logged,,11,Squirrel Hill
Three Strikes for Rotten Ralph,Jack Gantos,1,East Liberty
Wonder,RJ Palacio,1,Main (Oakland)
American Housewife,Helen Ellis ,1,Downtown & Business
My 1st Animal Book,,1,Woods Run
X-Force/Cable: Messiah War,Marvel,1,Woods Run
Elmo's Hokey Pokey,Sesame Workshop,3,Main (Oakland)
No Title Logged,,3,West End
flight volume 1,,1,East Liberty
No Title Logged,,1,Squirrel Hill
Pete the Cat and the Bad Banana,James Dean,1,Main (Oakland)
The Walking Dead Volume 5,,1,Woods Run
Glorify: Reclaiming the Heart of Progressive Christianity,Emily C. Heath,1,Squirrel Hill
No Title Logged,,5,Squirrel Hill
Lowcountry Summer,Dorthea Benton Frank,1,Brookline
The Last Victim,Jason Moss,1,West End
Millie and Moo The Case of the Missing Jelly Donut,Denys Cazet,2,East Liberty
Percy Jackson and the Olympians (series),Rick Riordan,5,East Liberty
The wind through the keyhole,Stephen King,1,Lawrenceville
People of the Book,Geraldine Brooks,1,Main (Oakland)
Dragonfly in Amber,Diana Gabaldon,1,Knoxville
If the Dinosaurs Came Back,Bernard Most,1,Main (Oakland)
United: Thoughts on Finding Common Ground and Advancing the Common Good ,"Booker, Cory ",1,Squirrel Hill
A tale of two pretties ,Lisi Harrison ,1,Squirrel Hill
The plant based journey,"Muelratch, Lani",1,East Liberty
No Title Logged,,5,Allegheny
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1,South Side
the owl and the pussycat,edward lear - brett,1,Squirrel Hill
School Days,Robert Parker,1,Sheraden
The Moonlight Mystery,Paula Harrison,1,Main (Oakland)
THE HIT,DAVID BALDACCI,1,Woods Run
The Adventures of Huckleberry Finn,Mark Twain,1,Squirrel Hill
Sisters of the Confederacy,Lauraine Snelling,1,Main (Oakland)
Highlights high five July 2016,,1,Squirrel Hill
lewis and clark a prarie dog for president,,1,Downtown & Business
The Thirteen Problems ,Agatha Christie ,1,Downtown & Business
My Name Is Lucy Barton,Elizabeth Strout,1,Main (Oakland)
Harry Potter and the Goblet of Fire,J.K. Rowling,1,Sheraden
Knuffle Bunny,Mo Willems,1,Beechview
Boundaries After a Pathological Relationship,Adelyn Birch,1,Squirrel Hill
The Story of X Men: How it All Began,Michael Teitelbaum,1,Main (Oakland)
How to Train a Train,Jason Carter Eaton,1,Main (Oakland)
Stop-Time,Frank Conroy,1,East Liberty
Lilac Girls,Martha Hall Kelly,1,
Why Not Me?,Mindy Kaling,1,West End
Cowboys and Angels,Vicki Lewis Thompson,1,Woods Run
Bang! Boom! Roar! A Busy Crew of Dinosaurs,Stephanie Gwyn Brown,1,Squirrel Hill
The Bet,"Dyken, Rachel Van",1,Lawrenceville
No Title Logged,,11,Woods Run
Bringing the Outside In,Mary McKenna Siddals,1,Main (Oakland)
Daniel Plays in the Snow (Daniel Tiger's Neighborhood),Becky Friedman,1,Brookline
Sweet Tooth - No Bake Desserts to Make and Devour,Besel,2,Squirrel Hill
Inherit the dead,,1,Carrick
Doublecross: mission hurricane ,Jenny Goebel,1,Squirrel Hill
No Title Logged,,6,Squirrel Hill
Song Yet Sung,James McBride,1,Homewood
The trouble with scotland,Patience griffin,1,Allegheny
the pout pout fish in the big big dark,,1,Hazelwood
The candy store man,,3,East Liberty
Teddy Bear Teddy Bear,,1,Hazelwood
Girl on a Train,Paula Hawkins,1,Main (Oakland)
The Gene: An Intimate History,Siddhartha Mukherjee,1,Main (Oakland)
I Funny,James Patterson,1,Main (Oakland)
The Immortal Iron Fist Volume 1,,1,Woods Run
Entertainment Weekly Magainze,EW,1,Main (Oakland)
Burn for Me,Ilona Andrews,1,Beechview
This Is Not My Hat,Jon Klassen,1,East Liberty
Ink and Bone,Rachel Caine,1,Main (Oakland)
How Do Dinosaurs Eat Their Food,Jane Yolen,1,Beechview
No Title Logged,,1,Main (Oakland)
Daddy Hugs,Karen Katz,1,Main (Oakland)
No Title Logged,,13,
One More Dino On the Floor,Kelly Starling Lyons,1,Hill District
Pete the Cat and the Bad Banana,James Dean,1,Beechview
No Title Logged,,15,Beechview
we love soccer,,1,Squirrel Hill
all about techniques in watercolor,,1,Brookline
Emperor Pickletine rides the bus,,1,South Side
The Wright Brothers,David McCullough,1,Main (Oakland)
Miss Bindergarten Has a Wild Day in Kindergarten,,1,Lawrenceville
Calling Dr. Amelia Bedelia,,1,Downtown & Business
No Title Logged,,1,East Liberty
Harry Potter and the Half Blood Prince,JK Rowling,1,Main (Oakland)
bobie spy squad,,1,Hazelwood
hourglass factory,lucy ribchester,1,Beechview
American Housewife: Stories,"Ellis, Helen",1,Main (Oakland)
Madeline,Ludwig Bemelmans,1,Squirrel Hill
Diary of a Wimpy Kid: The Last Straw,,1,Squirrel Hill
No Title Logged,,5,Homewood
Rabbit and the not so big bad wolf,,1,East Liberty
Mother Goose,,1,Carrick
Prodigal Summer,Barbara Kingsolver,1,Lawrenceville
Lumberjanes,Noelle Stevenson,1,Hill District
Ladybug girl and the bug sqaud,David soman,1,Squirrel Hill
aesop fables,,1,Carrick
A Trruck goes rattley-Bumpa,Jonathan London,1,Mt. Washington
summit lake,charlie donlea,1,Main (Oakland)
Goldilicious,Victoria Kann,1,Main (Oakland)
Teen Titans: Rogue Targets ,Will Pfeifer,1,East Liberty
I Will Take a Nap!,Mo Willems,1,Hill District
That's not my baby,Fiona watt,5,Squirrel Hill
No Title Logged,,9,Allegheny
Things That Go,National Geographic Kids,1,Squirrel Hill
Fly Guy Presents Insects,,1,South Side
Liberty's last stand,Stephen coonts,1,Carrick
pig a fox and a box,,1,East Liberty
Critical Care,Theresa Brown,1,South Side
Peter Pan,J.M. Barrie,1,South Side
peep and egg,,1,South Side
Because Mommy Loves You,,1,Squirrel Hill
Viva Frida!.,,1,Beechview
A little bit of buddha,Chad mercree,1,Main (Oakland)
magic three house 21,,1,Main (Oakland)
No Title Logged,,3,Squirrel Hill
Walt Disney's The Jungle Book,None Listed ,1,Brookline
Indiana Jones and the Spear of Destiny: Volume 1-4,Elaine Lee,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Space Dumplins,Craig Thompson,1,Main (Oakland)
Between the World and Me,Ta-Nehisi Coates,1,Lawrenceville
Modern Lovers,Emma Straub,1,Mt. Washington
Frederick's fables,,1,East Liberty
Once Upon a Potty for Him,Alona Frankel,1,Downtown & Business
the mysterious death of Mill Jane,,1,Carrick
10 Cut-Ups,Bobby Lynn Maslen,1,Main (Oakland)
"Last Man. 1, The Stranger - Balak",Balak,1,South Side
Pups to the Rescue,,1,Lawrenceville
No Title Logged,,7,Brookline
No Title Logged,,6,Beechview
No Title Logged,,3,Squirrel Hill
Hazel's amazing mother,Rosemary wells,1,Squirrel Hill
The Girl on the Train,Paula Hawkins,1,Beechview
Scott Pilgrim's Precious Little Life,Bryan Lee O'Malley,1,East Liberty
out of time,,1,Brookline
He Took Me,,1,Main (Oakland)
Shark School,Davy Ocean,1,Downtown & Business
No Title Logged,,1,Knoxville
Red Riding Hood,Sarah Blakley-Cartwright,1,Brookline
A World to Explore,,1,Carrick
Again to Carthage,"John L. Parker, Jr",1,Squirrel Hill
Saturn,Elaine Landau,1,Beechview
"Maisie, Charley, and the Wobbly Tooth",Cousins,1,Squirrel Hill
Forever Liesl,Charmaine Carr,1,Allegheny
Slithery Snakes,Roxie Munro,1,East Liberty
Everything Guide to the Kenogenic Diet,Lindsay Boyers,1,Beechview
The dark island,,1,East Liberty
Bark George,Jules Feiffer,15,Hazelwood
Bailey Goes Camping,Kevin Henkes,1,East Liberty
Never Girls #8,,1,Main (Oakland)
The Best Mouse Cookie,Laura Numeroff,5,Hazelwood
Life and Times of Michael K,J M Coetzee,1,Main (Oakland)
Blue Bay Mystery,Gertrude Chandler Warner,1,East Liberty
Arthur's tooth,,1,East Liberty
No Title Logged,,5,Knoxville
No Title Logged,,4,Beechview
No Title Logged,,7,Squirrel Hill
One Plus One,Jojo Moyes,1,Lawrenceville
Shark vs. Train,Chris Barton,1,Woods Run
Monsters Love Colors,Mike Austin,1,Hill District
No Title Logged,,8,Main (Oakland)
The Red Pyramid,Rick Riordan,1,East Liberty
Whose eye am i,,1,Brookline
The Other Half of My Heart,Sundee T. Frazier,1,East Liberty
No Title Logged,,3,Lawrenceville
I'm the Best Artist in the Ocean,Kevin Sherry,1,Hill District
Star Wars: i am a droid,Christopher Nicholas,1,Beechview
violent crimes,phillip margolin,1,Hill District
15th Affair,James Patterson,1,Sheraden
Can you Make a Scary Face?,Jan Thomas,1,Hill District
Gluten Free & More - Feb/March 2016,Gluten Free & More,1,Main (Oakland)
How to be a Jedi,,1,Brookline
The League of Unexceptional Children,Gitty Daneshvari,1,East Liberty
No Title Logged,,6,Squirrel Hill
Grim Tuesday,Garth Nix,1,Squirrel Hill
My Japan,,1,Main (Oakland)
No Title Logged,,1,East Liberty
Verbal and Emotional Abuse,,1,Hill District
No Title Logged,,5,Woods Run
Don't You Cry,Mary Kubica,1,Mt. Washington
The Enchanted Files: Diary of a Mad Brownie,Bruce Coville,1,South Side
Farm Animals,Rod Campbell,1,Beechview
Left of Boom,Doug Laux ,1,Lawrenceville
The God I Love,Joni Eareckson Tada,1,Woods Run
Stoker's Manuscript,Royce Prouty,1,Downtown & Business
Silver Surfer: New Dawn,"Slott, Dan",1,Lawrenceville
Trains Go,Steve Light,1,Beechview
Still Life with Bread Crumbs,Anna Quindlen,1,Carrick
Waiting Is Not Easy,Mo Willems,1,Squirrel Hill
Bun and chub,Foster & Erikson,1,East Liberty
the giant diamond robbery,geronimo stilton,1,Woods Run
No Title Logged,,1,Woods Run
B is for Bulldozer,June Sobel,5,Beechview
Peg and Ted,Bobby Lynn Maslen,1,Main (Oakland)
My first book of super-villains,David Bar Katz,1,Squirrel Hill
Don't Call Me Grandma,Vaunda Micheaux Nelson,1,Allegheny
Dinosaur Ducks,Walt Disney,1,Downtown & Business
No Title Logged,,1,Hazelwood
"Steam Train, Dream Train",Sherri Duskey Rinker,2,Squirrel Hill
1222,"Holt, Anne",1,East Liberty
The Monster at the End of this Book,Jon Stone,1,Carrick
The Beach Street Knitting Society and Yarn Club,Gil McNeil,1,Downtown & Business
The Devil in the White,Erik Larson,1,Main (Oakland)
Footprints in the Sand,Cynthia Benjamin,1,Carrick
night film,,1,West End
I will kiss you,,1,Beechview
Beautiful darkness,,1,Main (Oakland)
The Girls,Emma Cline,1,Hill District
Scat,Carl Hiaasen,1,Woods Run
Digger the Dinosaur and the Cake Mistake,Rebecca Kai Dotlich,1,Downtown & Business
The Titan's Curse:The Graphic Novel,Rick Riordan,1,West End
Esperanza Rising,Pam Munoz Ryan,1,East Liberty
Hi Fly Guy,Tedd Arnold,1,Hill District
No Title Logged,,1,Main (Oakland)
Flora & Ulysses: The Illuminated Adventures ,Kate DiCamillo,1,Beechview
Stripes of All Types,Susan Stockdale ,1,Main (Oakland)
Cleopatra in Space,Mike Maihack,1,East Liberty
Boundaries,Dr. Henry Cloud & Dr. John Townsend,1,Squirrel Hill
Little Blue Truck,"Alice Schertle, illustrated by Jill McElmurry",1,East Liberty
Danny the Dinosaur and the new puppy,Sid Hoff,1,Lawrenceville
My Story,"Smart, Elizabeth ",1,East Liberty
No Title Logged,,1,Hazelwood
Junie be is a beauty shop guy,,1,East Liberty
No Title Logged,,5,Main (Oakland)
The Curious Garden,Peter Brown,1,Squirrel Hill
Can you tell me how to get to sesame street?,Eleanor Hudson,1,Main (Oakland)
I Ain't Gonna Paint No More,Karen Beaumont,1,Sheraden
2056,,1,Brookline
bumpity bump,,1,Brookline
Knuffle Bunny,Mo Willems,1,Main (Oakland)
Ivy and bean the ghost that had to go,Annie barrows,1,Woods Run
At the Marsh in the Meadon,Jeanie Mebane,1,Beechview
Secret Agent Mater ,Melissa Lagonegro,1,Main (Oakland)
The princess who never smiled ,,1,West End
hats off for the fourth of july,,1,Carrick
No Title Logged,,1,Woods Run
Duck for President,Doreen Cronin,1,Woods Run
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1,Hazelwood
Start your own business and hire yourself,Suzanne Caplan,1,Hill District
A Bad Case of Stripes,David Shannon,1,East Liberty
No Title Logged,,2,Woods Run
President Me,Adam Carolla,1,Lawrenceville
Miller's Valley,Anna Quindlen,1,Lawrenceville
The Rest of Us Just Live Here,Patrick Ness,1,Squirrel Hill
Leaving Time,Jodi Piccoult,1,Carrick
marley and the kittens,,1,Brookline
No Title Logged,,2,Squirrel Hill
Hunting Ground,Patricia Briggs,1,Beechview
No Title Logged,,1,East Liberty
How To Raise An Adult: Breaking Free Of The OverParenting Trap,Julie Lythcott-Harris,1,Homewood
Bunnies are for kissing,,1,East Liberty
Candy Counting,Lisa McCourt,1,Squirrel Hill
Why Not Me?	,Mindy Kaling,1,Main (Oakland)
Ophelia,Lisa Klien,1,Squirrel Hill
Robots,Melissa Stewart,1,Downtown & Business
Guess How Much I Love You,Sam McBratney,1,Main (Oakland)
The Reef,Norah Roberts,1,East Liberty
The Baby Goes Beep,Rebecca O'Connell,1,Main (Oakland)
I Really Like Slop,Mo Willems,1,Homewood
No Title Logged,,1,Main (Oakland)
Bad Kitty Goes to the Vet,Nick Bruel,1,Brookline
No Title Logged,,9,Beechview
Decisive ,Heath,1,Woods Run
The Son of Neptune - Rick Riordan,Rick Riordan,1,Beechview
the very lonely firefly,Eric Carle,1,Squirrel Hill
Dr. Brad has gone mad ,Dan Gutman ,1,East Liberty
Rabbit & Robot the Sleepover,,1,Carrick
No Title Logged,,5,Beechview
The Cat in the Hat Knows a lot about that,Dr Seuss,1,Mt. Washington
Digger the Dinosaur and the Cake Mistake,Rebecca Kai Dotlich,1,Downtown & Business
No Title Logged,,1,Squirrel Hill
No Title Logged,,8,East Liberty
No Title Logged,,1,West End
No Title Logged,,3,Sheraden
Tea time,,2,Main (Oakland)
Petites Winter Wonderland,,1,Carrick
Magi 2,Shinobu Ohtaka,1,Main (Oakland)
The Big Sleep,Raymond Chandler,1,Downtown & Business
Big Bear Hug,,1,East Liberty
5 Minute Princess Stories - Cinderella,E.C. Llopis and Elle D. Risco,1,Brookline
love that boy,Ron Fournier,1,Downtown & Business
The Amazing Book is Not On Fire: The World of Dan and Phil,Dan Howell,1,Allegheny
"I Survived the Sinking of the Titanic, 1912",Lauren Tarshis,1,Squirrel Hill
sweet legacy,tera lynn childs,1,Main (Oakland)
Niseko False Love 1,,1,Hill District
Pardonable Lies,Jacqueline Winspear,1,Library for the Blind and Physically Handicapped
Are You My Mother?,P. D. Eastman,1,Brookline
Toddlerobics Animal Fun,,1,East Liberty
Sweet,Tammara Webber,1,Sheraden
star wars it's a trap,,1,
People,,5,Carrick
Fangirl,Rainbow Rowell,1,Main (Oakland)
Outcast by Kirkman & Azaceta #13,Robert Kirkman,1,Allegheny
Wilde Lake,,1,Squirrel Hill
No Title Logged,,14,Squirrel Hill
The Serpant's Shadow,Rick Riordan,1,Main (Oakland)
Going to the Dentist,"Sue McMillan, Sue King",1,Brookline
Guess Who!,"Driscoll, Laura",1,Squirrel Hill
"Nighty Night, Cooper",Laura Numeroff,1,Main (Oakland)
I survived the Hindenburg crash,,1,South Side
No Title Logged,,15,Squirrel Hill
Anna's Best Friends,M. Leonard,1,Downtown & Business
This is the baby that hates to get dressed,,1,Squirrel Hill
Toot Toot Beep Beep,Emma Garcia,1,Brookline
Sweet Evil,Wendy Higgins,1,Main (Oakland)
Big Nate: Welcome to My World,Lincoln Peirce,1,Squirrel Hill
The Napping House,Audrey Wood,1,Downtown & Business
amelia bedelia and the cat,herman parish,1,Brookline
It's a Little Book,Lane Smith,1,Main (Oakland)
That's not my owl,Fiona Watt,2,Main (Oakland)
No Title Logged,,5,Carrick
Five Little Kittens,Nancy Jewell,1,Main (Oakland)
No Title Logged,,25,Mt. Washington
Joust,Mercedes Lackey,1,East Liberty
Bubble Trouble,Margaret Mahy,1,East Liberty
Oh No She Didn't: The top 00 Style mistakes women make and how to avoid them,Clinton Kelly,1,Downtown & Business
No Title Logged,,5,Mt. Washington
Manus and Machina ,"Met Museum of Art, Andrew Bolton ",1,Allegheny
How Do Dinosaurs Go to School?,Jane Yolen,1,South Side
whatetever After BAD HAIR DAY,SARAH MLYNOWS,1,Lawrenceville
One more Dino on the Floor,,3,West End
The Pigeon Needs a Bath,Mo Willems,1,Main (Oakland)
The Cold Song,Linn Ullman,1,West End
wind,,1,West End
Model Crime,,1,Brookline
No Title Logged,,3,Squirrel Hill
Baby Jesus is Born,Juliet David,1,West End
The Gruffalo,Julia Donaldson,1,Squirrel Hill
Brave Squish Rabbit,Katherine Battersby,1,Main (Oakland)
No Title Logged,,8,Sheraden
"Marvin K. Mooney, Will You Please Go Now?",Dr. Seuss,1,Downtown & Business
The Second Honeymoon,Patterson,1,Woods Run
No Title Logged,,2,Beechview
The Summer Before the War,Helen Simonson,1,Downtown & Business
Mid Atlantic Lighthouses:Hudson River to Chesapeake Bay,Bruce Jones and Ray Jones,1,Main (Oakland)
Falling Free,Lois McMaster Bujold,1,Main (Oakland)
Noah's Ark,Brendan Powell Smith,1,
Sing Down The Moon,Scott O'Dell,1,South Side
Recruiting,,1,Brookline
I Know Why the Caged Bird Sings,Maya Angelou,1,West End
Cloudy With a Chance of Meatballs,Judi Barrett,2,Hazelwood
Inside Noah's Ark,Charles Reasoner,1,Squirrel Hill
Annie and Snowball and the Wedding Day,,1,Main (Oakland)
No Title Logged,,1,East Liberty
Donner Dinner Party,Nathan Hale,1,East Liberty
An Event in Autumn,Henning Mankell,1,Lawrenceville
Dinosaur days,Joyce Milton,1,Main (Oakland)
Fairest of All,Sarah Mlynowski,1,Carrick
The Opposite of Light,Kimberley Grey,1,Main (Oakland)
Hello Hello,Fumiko Takeshita,1,Squirrel Hill
What shall we do with the boo-hoo baby?,Cressida Cowell,2,Squirrel Hill
The Menagerie Dragon on Trial,Tui T. and Kari Sutherland,1,Brookline
No Title Logged,,1,Homewood
One More Chance,Abbi Glines,1,Main (Oakland)
The Slippery Slope,Lemony Snicket,1,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Stars of Fortune,Nora Roberts,1,Lawrenceville
the strangers,,1,Main (Oakland)
"I, Alex Cross",James Patterson,1,Main (Oakland)
Lunch Lady 1,,1,
The relic master,Christopher  Buckley,1,
No Title Logged,,1,Main (Oakland)
No Title Logged,,25,Mt. Washington
No Title Logged,,1,Main (Oakland)
No Title Logged,,25,Squirrel Hill
Super Bunny ,Stephanie Blake ,2,Main (Oakland)
Is a camel a mammel,,1,Main (Oakland)
The good thiefs guide to vegas: a mystery,Chris Ewan,1,Main (Oakland)
No Title Logged,,1,Squirrel Hill
The Merchant of Venice,,1,Hazelwood
No Title Logged,,10,Squirrel Hill
overworld in  flames,,1,Main (Oakland)
123 Va-Va-Vroom,Sarah Lynn,1,Allegheny
Petite's Winter Wonderland,,1,
Pittsburgh Post Gazette,,1,Main (Oakland)
UFM-Unidentified Flying Mater,Disney,1,Main (Oakland)
I Dream of an Elephant,Ami Rubinger,1,Beechview
My Friend is Sad,Mo Willems,1,Squirrel Hill
Along for the RIde,Sarah Dessen,1,Main (Oakland)
I Shall Wear Midnight,Terry Pratchett,1,Squirrel Hill
"Eat up, Little Donkey",,1,West End
I am Regina,Sally M. Keehn,1,Main (Oakland)
Due or Die,Jenn McKinlay,1,Squirrel Hill
Rebecca,Daphne du Maurier,1,Beechview
Masters of Music - The World's Greatest Composers - The Life and Times of Felix Mendelssohn,Susan Zannos,1,Main (Oakland)
"Our children can soar : a celebration of Rosa, Barack, and the pioneers of change",Michelle Cook,1,Homewood
Bear's Busy Family,Stella Blackstone,1,Main (Oakland)
The Bride  Wore Plaid,Karen  Hawkins  ,1,Woods Run
Wheels on the bus,,1,East Liberty
No Title Logged,,1,Main (Oakland)
No Title Logged,,1,
Under the Influence ,Joyce Maynard,1,Allegheny
Bella and the Beast,Drake,1,South Side
Chock a Block,,1,
Star Wars A Pop Up Guide to the Galaxy,,1,Mt. Washington
Hop on Pop,Dr. Seuss,1,Brookline
Every Heart a Doorway,Seanan McGuire ,1,Hazelwood
Stiff The Curious Lives of Human Cadavers ,Mary Roach,1,Woods Run
Who Moved My Cheese?: An A-Mazing Way to Change and Win,Spencer Johnson,1,Squirrel Hill
Private Lives,Noel Coward,3,Squirrel Hill
veggietales,,1,Allegheny
No Title Logged,,1,Woods Run
No Title Logged,,5,Mt. Washington
When I Am Happy,"Christian, Frank",1,Hazelwood
Driving with Albert,,1,Main (Oakland)
prince of Fools,,1,Carrick
"39 clues, Black book of buried secrets",,1,East Liberty
Jem and The Holograms Viral,Kelly Thompson,1,Brookline
No Title Logged,,5,Squirrel Hill
libertys last stand,stephen coonts,1,Beechview
goldie rocks and the 3 bears,,1,East Liberty
Hey Diddle Diddle,Sesame Street,1,Main (Oakland)
Squish: Super Amoeba,Jennifer L Holm,1,South Side
Pip and Pog,,1,Woods Run
"""A to Z Mysteries""",Roy Ron,1,Main (Oakland)
Fellside,M.R. Carey,1,Lawrenceville
Mouse Tales,,1,South Side
The Enduring Ark,Gita  Wolf,1,Main (Oakland)
"Happy New Year, Julie",Megan McDonald,1,Brookline
Garfield by the pound,,1,Squirrel Hill
No Title Logged,,3,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Sex Object: A Memoir,Jessica Valenti,1,Main (Oakland)
olivia's abcs,,1,Squirrel Hill
Hooray for Fly Guy!,Tedd Arnold,1,Carrick
That's not my car,Fiona watt,1,Squirrel Hill
farming of bones,,1,Squirrel Hill
Eerie Elementary- Recess is a jungle,Jack Chabert ,1,West End
Lumberjanes Vol. 3,Noelle Stevenson & Grace Ellis,1,Lawrenceville
A Roux of Revenge,Connie Archer,1,Brookline
Most Wanted,Lisa Scottoline,1,Beechview
Dragon Masters: Song of the Poison Dragon,"West, Tracey",1,East Liberty
Big Nate #2,,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
No Title Logged,,3,Main (Oakland)
parrot cat,,1,East Liberty
Tale of rabbit and coyote,,1,East Liberty
Unseen aca,,1,East Liberty
The Lost Years ,Mary Higgins Clark,1,Main (Oakland)
Magic Tree House: Stallion by Starlight,Mary Pope Osborne,1,Main (Oakland)
The Cage,Meghan Shephard,1,Main (Oakland)
Kipper's Snowy Day,,1,Main (Oakland)
The Peculiar Night of the Blue Heart,Lauren DeStefano,1,Main (Oakland)
The Price of Royal Duty,Penny Jordan,1,Main (Oakland)
Ling and Ting Share a Birthday,Grace Lin,1,Main (Oakland)
50 harbor street,Debbie Macomber ,1,Beechview
"Stop Snoring, Bernard!",Zachariah OHora,1,Squirrel Hill
No Title Logged,,5,
One Family,"George Shannon, illustrated by Blanca Gomez",1,West End
Three Wishes,,1,Squirrel Hill
Jump again,,1,East Liberty
No Title Logged,,1,Woods Run
Hi!,Ethan Long,1,East Liberty
Peter Pan,J.M. Barrie,1,Sheraden
The Batman Adventures ,Kelley Puckett,1,Brookline
The Tropical Rain Forest: A Web of Life,Philip Johansson,1,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Rules of the Game,Lori Wilde,1,Allegheny
"Mommy, Do You Love Me?",,1,Squirrel Hill
Magonia,M. D. Headley,1,West End
Pete The Cat's Train Trip,,1,South Side
Goodnight Gorilla,Peggy Rathmann,1,Main (Oakland)
The Adult Learner,Malcolm Knowles,1,Main (Oakland)
Hand Hand Fingers Thumb,Al Perkins,1,Allegheny
Chicka chicka boom boom,Bill Martin,1,Allegheny
Curious George goes to a costume party ,Margret Rey ,1,Brookline
Sex Criminals Vol.1: One Weird Trick,Matt Fraction,1,Squirrel Hill
Sweet Tooth Volume 1,,1,Woods Run
The meanest of them all,"Murphy, Tiffani",1,West End
Day After Night,Anita Diamant,1,West End
"Happy Hippo, Angry Duck",Sandra Boynton,1,Main (Oakland)
cast in shadow,michelle sagara,1,Hill District
No Title Logged,,11,Squirrel Hill
No Title Logged,,10,Squirrel Hill
Count & color with the little monsters,Lynne Mitchell ,1,Squirrel Hill
Batman Dark Secret,,1,Downtown & Business
City of Mirrors,Justin Cronin,1,Downtown & Business
Mustache Baby,Bridget Heos,1,Hazelwood
